2 1 1 2 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
10 1 1 5 1 7 2 8 1 10 1 12 1 20 1 22 2 24 1 40 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7 2 1 4 1 6 1 8 1 11 1 15 1 31 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
12 3 1 9 2 10 1 11 1 14 1 23 1 26 1 27 1 37 1 48 1 49 2 50 1 -1 -1 -1 -1 -1 -1 -1 -1 
13 3 1 12 1 13 2 23 1 25 2 26 1 30 2 34 1 36 1 38 1 39 1 45 1 50 1 -1 -1 -1 -1 -1 -1 
4 4 1 28 1 32 1 33 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 17 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
16 5 1 6 1 16 1 18 2 20 1 21 2 22 1 32 1 36 1 37 1 38 1 42 1 43 1 45 2 46 1 47 1 
6 14 1 33 1 35 1 39 1 42 1 44 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3 41 1 46 1 47 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
