8 18 1 20 1 25 1 29 1 30 1 50 1 51 1 52 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2 1 1 2 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
10 1 1 5 1 7 2 8 1 10 1 12 1 21 1 23 2 25 1 41 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
7 2 1 4 1 6 1 8 1 11 1 15 1 32 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
11 3 1 9 2 10 1 11 1 14 1 24 1 27 1 28 1 38 1 51 2 52 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
12 3 1 12 1 13 2 24 1 26 2 27 1 31 2 35 1 37 1 39 1 40 1 46 1 -1 -1 -1 -1 -1 -1 -1 -1 
4 4 1 29 1 33 1 34 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
2 17 1 18 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
16 5 1 6 1 16 1 19 2 21 1 22 2 23 1 33 1 37 1 38 1 39 1 43 1 44 1 46 2 47 1 48 1 
7 14 1 34 1 36 1 40 1 43 1 45 1 50 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
3 42 1 47 1 48 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 17 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 49 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
